Time [MM:SS];Image file path;T1;T2;T3;T4;T5;T6;T7;T8;V1;V2;V3;V4;V5;V6;V7;V8
2021_06_29-10-54-17-137;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration/Images/2021_06_29-10-54-17-137.PNG;-6,349854;33,073446;32,241740;32,013968;NaN;NaN;NaN;NaN;8,084972;4,436844;4,512778;4,533686;12,094169;12,095544;12,095919;12,097806
2021_06_29-10-54-18-137;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration/Images/2021_06_29-10-54-18-137.PNG;-6,350163;32,701895;32,020817;32,191886;NaN;NaN;NaN;NaN;8,084996;4,470685;4,533057;4,517350;12,094140;12,095546;12,095850;12,097800
2021_06_29-10-54-19-137;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration/Images/2021_06_29-10-54-19-137.PNG;-6,350092;32,521209;31,400756;31,647677;NaN;NaN;NaN;NaN;8,084990;4,487189;4,590213;4,567411;12,094199;12,095571;12,095871;12,097772
2021_06_29-10-54-20-137;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration/Images/2021_06_29-10-54-20-137.PNG;-6,351067;32,361827;31,050608;31,562489;NaN;NaN;NaN;NaN;8,085064;4,501773;4,622641;4,575271;12,094260;12,095576;12,095994;12,097847
2021_06_29-10-54-21-137;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration/Images/2021_06_29-10-54-21-137.PNG;-6,350996;32,535487;30,971047;31,639709;NaN;NaN;NaN;NaN;8,085058;4,485884;4,630024;4,568146;12,094235;12,095637;12,095980;12,097867
2021_06_29-10-54-22-137;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration/Images/2021_06_29-10-54-22-137.PNG;-6,351591;32,731429;30,486971;31,799645;NaN;NaN;NaN;NaN;8,085103;4,467990;4,675064;4,553404;12,094289;12,095639;12,096032;12,097901
2021_06_29-10-54-23-138;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration/Images/2021_06_29-10-54-23-138.PNG;-6,351615;32,242247;30,945086;31,769886;NaN;NaN;NaN;NaN;8,085105;4,512731;4,632435;4,556145;12,094319;12,095614;12,095991;12,097893
2021_06_29-10-54-24-138;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration/Images/2021_06_29-10-54-24-138.PNG;-6,351496;31,762724;30,445098;31,283833;NaN;NaN;NaN;NaN;8,085096;4,556805;4,678969;4,601029;12,094290;12,095662;12,096034;12,097895
2021_06_29-10-54-25-138;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration/Images/2021_06_29-10-54-25-138.PNG;-6,351758;31,311114;30,238974;31,003758;NaN;NaN;NaN;NaN;8,085115;4,598505;4,698215;4,626988;12,094267;12,095642;12,096023;12,097876
2021_06_29-10-54-26-138;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration/Images/2021_06_29-10-54-26-138.PNG;-6,352043;32,116871;30,743482;31,150620;NaN;NaN;NaN;NaN;8,085137;4,524234;4,651172;4,613368;12,094292;12,095664;12,096025;12,097969
