Time [MM:SS];Image file path;T1;T2;T3;T4;T5;T6;T7;T8;V1;V2;V3;V4;V5;V6;V7;V8
13-23-05_138;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_14/Images/13-23-05_138.PNG;10,097909;40,315534;39,711919;39,961284;-129,316339;-58,790976;-58,835238;-59,049146;8,131698;4,650176;4,711544;4,686126;12,216155;12,095555;12,095952;12,097854
13-23-05_638;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_14/Images/13-23-05_638.PNG;10,101637;40,367581;39,770956;39,986613;-135,766487;-58,796154;-58,836170;-59,054545;8,131262;4,644910;4,705518;4,683549;12,216185;12,095601;12,095960;12,097902
13-23-06_413;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_14/Images/13-23-06_413.PNG;10,099661;40,063821;39,980202;39,783512;-129,477056;-58,794693;-58,836636;-59,055963;8,131493;4,675701;4,684201;4,704237;12,216156;12,095588;12,095964;12,097914
13-23-07_188;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_14/Images/13-23-07_188.PNG;10,123574;39,893883;40,042773;39,807385;-139,801279;-58,798278;-58,838766;-59,060149;8,128694;4,692987;4,677840;4,701802;12,216193;12,095620;12,095983;12,097951
13-23-07_638;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_14/Images/13-23-07_638.PNG;10,112565;39,831518;40,023684;39,823683;-130,535236;-58,800403;-58,842294;-59,056638;8,129983;4,699341;4,679780;4,700140;12,216163;12,095639;12,096015;12,097920
13-23-08_412;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_14/Images/13-23-08_412.PNG;10,098973;39,900742;39,956252;39,900695;-131,137746;-58,796950;-58,838100;-59,050496;8,131574;4,692288;4,686638;4,692293;12,216167;12,095608;12,095977;12,097866
13-23-09_187;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_14/Images/13-23-09_187.PNG;10,103343;40,457708;39,844284;40,330075;NaN;-58,801333;-58,841096;-59,057651;8,131062;4,635800;4,698040;4,648704;12,216218;12,095648;12,096004;12,097929
13-23-09_638;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_14/Images/13-23-09_638.PNG;10,100766;40,494843;40,105348;40,229224;-126,997467;-58,791773;-58,835038;-59,051778;8,131364;4,632051;4,671483;4,658917;12,216134;12,095562;12,095950;12,097877
13-23-10_413;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_14/Images/13-23-10_413.PNG;10,099819;40,425619;40,041835;40,291924;-155,170979;-58,791972;-58,837701;-59,055288;8,131475;4,639042;4,677935;4,652566;12,216200;12,095564;12,095974;12,097908
13-23-11_188;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_14/Images/13-23-11_188.PNG;10,097395;40,401812;40,208125;40,192764;NaN;-58,791441;-58,837501;-59,054883;8,131758;4,641449;4,661056;4,662614;12,216222;12,095559;12,095972;12,097905
