Time [MM:SS];Image file path;T1;T2;T3;T4;T5;T6;T7;T8;V1;V2;V3;V4;V5;V6;V7;V8
11-06-47_326;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_3/Images/11-06-47_326.PNG;-6,441829;31,271238;29,872623;30,886757;NaN;NaN;NaN;NaN;8,091875;4,602195;4,732507;4,637852;12,094196;12,095559;12,095930;12,097815
11-06-52_314;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_3/Images/11-06-52_314.PNG;-6,441380;30,229056;30,262714;30,111543;NaN;NaN;NaN;NaN;8,091841;4,699142;4,695996;4,710131;12,094238;12,095563;12,095924;12,097835
11-06-57_302;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_3/Images/11-06-57_302.PNG;-6,440627;30,752054;29,735710;29,885852;NaN;NaN;NaN;NaN;8,091785;4,650375;4,745351;4,731267;12,094235;12,095577;12,095935;12,097832
11-07-02_290;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_3/Images/11-07-02_290.PNG;-6,439720;30,482327;30,228776;29,893303;NaN;NaN;NaN;NaN;8,091717;4,675497;4,699168;4,730569;12,094291;12,095596;12,095981;12,097893
11-07-07_279;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_3/Images/11-07-07_279.PNG;-6,438619;30,389772;29,930835;29,781164;NaN;NaN;NaN;NaN;8,091634;4,684131;4,727051;4,741085;12,094295;12,095634;12,096004;12,097909
11-07-12_267;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_3/Images/11-07-12_267.PNG;-6,436596;30,840402;30,221403;30,523220;NaN;NaN;NaN;NaN;8,091483;4,642160;4,699857;4,671684;12,094252;12,095578;12,095969;12,097885
11-07-17_255;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_3/Images/11-07-17_255.PNG;-6,435313;30,749075;30,551203;30,284150;NaN;NaN;NaN;NaN;8,091386;4,650652;4,669076;4,693994;12,094282;12,095605;12,095981;12,097867
11-07-22_243;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_3/Images/11-07-22_243.PNG;-6,433811;32,017903;31,154629;31,036610;NaN;NaN;NaN;NaN;8,091274;4,533325;4,612996;4,623939;12,094238;12,095586;12,095932;12,097841
11-07-27_231;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_3/Images/11-07-27_231.PNG;-6,433510;31,264767;31,168055;30,548605;NaN;NaN;NaN;NaN;8,091251;4,602794;4,611752;4,669318;12,094235;12,095565;12,095932;12,097838
11-07-32_220;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_3/Images/11-07-32_220.PNG;-6,433544;31,700616;31,147127;30,693380;NaN;NaN;NaN;NaN;8,091254;4,562529;4,613691;4,655834;12,094267;12,095618;12,095970;12,097886
