Time [MM:SS];Image file path;T1;T2;T3;T4;T5;T6;T7;T8;V1;V2;V3;V4;V5;V6;V7;V8
11-44-24_274;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_3/Images/11-44-24_274.PNG;37,784634;7,217794;25,183445;25,044851;111,134228;30,197418;26,086597;60,362992;1,403397;4,063542;2,196354;2,207900;0,153113;1,832045;2,121712;0,653859
11-44-24_774;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_3/Images/11-44-24_774.PNG;37,733244;7,220336;25,194429;25,046609;111,140319;30,190199;26,042676;60,603501;1,405929;4,063211;2,195498;2,207762;0,153090;1,832515;2,125023;0,648804
11-44-25_274;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_3/Images/11-44-25_274.PNG;37,663418;7,222516;25,202700;25,047720;111,130636;30,181792;26,104726;60,273954;1,409377;4,062927;2,194854;2,207675;0,153127;1,833062;2,120347;0,655742
11-44-25_774;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_3/Images/11-44-25_774.PNG;37,739408;7,224142;25,206518;25,046769;111,127357;30,176473;26,095059;60,529171;1,405625;4,062715;2,194556;2,207750;0,153139;1,833409;2,121075;0,650361
11-44-26_275;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_3/Images/11-44-26_275.PNG;37,691954;7,225475;25,209610;25,047941;111,136570;30,160877;26,089549;60,601877;1,407967;4,062542;2,194315;2,207658;0,153104;1,834424;2,121490;0,648838
11-44-26_774;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_3/Images/11-44-26_774.PNG;37,787928;7,228091;25,216507;25,050696;111,139538;30,157748;26,086051;60,503532;1,403235;4,062202;2,193778;2,207442;0,153093;1,834628;2,121753;0,650899
11-44-27_274;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_3/Images/11-44-27_274.PNG;37,819737;7,229878;25,229502;25,053223;111,132510;30,152406;26,088616;60,507732;1,401670;4,061969;2,192767;2,207244;0,153120;1,834976;2,121560;0,650811
11-44-27_774;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_3/Images/11-44-27_774.PNG;37,880346;7,232434;25,239606;25,054913;111,134696;30,147458;26,089114;60,520423;1,398694;4,061637;2,191981;2,207112;0,153111;1,835299;2,121523;0,650545
