Time [MM:SS];Image file path;T1;T2;T3;T4;T5;T6;T7;T8;V1;V2;V3;V4;V5;V6;V7;V8
11-22-21_629;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_7/Images/11-22-21_629.PNG;-6,447978;31,832521;31,137713;31,123804;NaN;NaN;NaN;NaN;8,092336;4,550377;4,614564;4,615853;12,094382;12,095673;12,096059;12,097947
11-22-21_878;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_7/Images/11-22-21_878.PNG;-6,448121;31,872130;31,217089;31,227380;NaN;NaN;NaN;NaN;8,092347;4,546731;4,607209;4,606256;12,094340;12,095614;12,095964;12,097949
11-22-22_128;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_7/Images/11-22-22_128.PNG;-6,449242;31,958998;31,553869;31,278520;NaN;NaN;NaN;NaN;8,092431;4,538740;4,576067;4,601521;12,094389;12,095723;12,096172;12,098008
11-22-22_377;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_7/Images/11-22-22_377.PNG;-6,448598;32,167603;31,611430;31,235779;NaN;NaN;NaN;NaN;8,092382;4,519578;4,570754;4,605478;12,094308;12,095683;12,096002;12,098026
11-22-22_628;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_7/Images/11-22-22_628.PNG;-6,448193;32,206292;31,628331;31,390042;NaN;NaN;NaN;NaN;8,092352;4,516028;4,569195;4,591204;12,094355;12,095657;12,096025;12,097967
11-22-22_877;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_7/Images/11-22-22_877.PNG;-6,448455;32,355638;31,636666;31,535103;NaN;NaN;NaN;NaN;8,092372;4,502340;4,568426;4,577800;12,094403;12,095658;12,096116;12,097972
11-22-23_129;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_7/Images/11-22-23_129.PNG;-6,447072;32,482003;31,539925;31,560765;NaN;NaN;NaN;NaN;8,092268;4,490775;4,577354;4,575430;12,094301;12,095653;12,096073;12,097945
11-22-23_378;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_7/Images/11-22-23_378.PNG;-6,448169;32,371278;31,617031;31,577987;NaN;NaN;NaN;NaN;8,092350;4,500908;4,570238;4,573841;12,094256;12,095615;12,096075;12,097881
11-22-23_628;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_7/Images/11-22-23_628.PNG;-6,448097;32,147494;31,724244;31,365969;NaN;NaN;NaN;NaN;8,092345;4,521423;4,560351;4,593430;12,094251;12,095676;12,096005;12,097935
11-22-23_877;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_7/Images/11-22-23_877.PNG;-6,448551;32,069942;31,641822;31,212842;NaN;NaN;NaN;NaN;8,092379;4,528544;4,567951;4,607603;12,094305;12,095617;12,096111;12,097985
11-22-24_128;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_7/Images/11-22-24_128.PNG;-6,448885;32,050885;31,625443;31,175068;NaN;NaN;NaN;NaN;8,092404;4,530294;4,569462;4,611102;12,094231;12,095628;12,095950;12,097856
11-22-24_378;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_7/Images/11-22-24_378.PNG;-6,447930;32,090386;31,877026;31,131076;NaN;NaN;NaN;NaN;8,092332;4,526666;4,546280;4,615179;12,094162;12,095587;12,095957;12,097868
11-22-24_628;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_7/Images/11-22-24_628.PNG;-6,448885;32,170155;31,963821;31,146529;NaN;NaN;NaN;NaN;8,092404;4,519344;4,538296;4,613747;12,094256;12,095576;12,096061;12,097799
11-22-24_878;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_7/Images/11-22-24_878.PNG;-6,448050;32,168402;31,852780;30,965558;NaN;NaN;NaN;NaN;8,092341;4,519505;4,548512;4,630534;12,094180;12,095581;12,095919;12,097958
11-22-25_128;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_7/Images/11-22-25_128.PNG;-6,448384;32,189294;31,779513;30,840148;NaN;NaN;NaN;NaN;8,092366;4,517588;4,555258;4,642183;12,094314;12,095685;12,095980;12,097933
11-22-25_378;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_7/Images/11-22-25_378.PNG;-6,448741;32,216352;31,804091;30,768722;NaN;NaN;NaN;NaN;8,092393;4,515106;4,552995;4,648825;12,094348;12,095635;12,095989;12,097917
11-22-25_628;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_7/Images/11-22-25_628.PNG;-6,448193;32,214695;31,890629;30,767337;NaN;NaN;NaN;NaN;8,092352;4,515258;4,545028;4,648953;12,094246;12,095724;12,096012;12,097951
11-22-25_878;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_7/Images/11-22-25_878.PNG;-6,449338;32,171188;31,983056;30,737235;NaN;NaN;NaN;NaN;8,092438;4,519249;4,536528;4,651754;12,094251;12,095590;12,096023;12,097856
11-22-26_127;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_7/Images/11-22-26_127.PNG;-6,449051;32,149832;32,062389;30,717729;NaN;NaN;NaN;NaN;8,092416;4,521209;4,529237;4,653569;12,094255;12,095667;12,096000;12,097877
11-22-26_378;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_7/Images/11-22-26_378.PNG;-6,448097;32,204830;32,144727;30,826086;NaN;NaN;NaN;NaN;8,092345;4,516163;4,521677;4,643491;12,094292;12,095690;12,096055;12,097995
11-22-26_628;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_7/Images/11-22-26_628.PNG;-6,447716;32,329049;32,086745;31,044921;NaN;NaN;NaN;NaN;8,092316;4,504776;4,527000;4,623168;12,094324;12,095751;12,096030;12,098054
11-22-26_878;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_7/Images/11-22-26_878.PNG;-6,448240;32,449517;31,886412;31,245261;NaN;NaN;NaN;NaN;8,092356;4,493746;4,545417;4,604600;12,094283;12,095739;12,096041;12,097893
11-22-27_128;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_7/Images/11-22-27_128.PNG;-6,447859;32,492268;31,837280;31,354157;NaN;NaN;NaN;NaN;8,092327;4,489836;4,549939;4,594522;12,094285;12,095553;12,096163;12,097952
11-22-27_378;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_7/Images/11-22-27_378.PNG;-6,448026;32,479266;31,675500;31,378711;NaN;NaN;NaN;NaN;8,092340;4,491025;4,564845;4,592251;12,094314;12,095660;12,096020;12,097911
