Ice Nucleation Version;0.0.0.1
;
Sample:;
Label;_41
Operator;
Date;2021_06_18-10-40-07-233
;
Notes;

;
Temperature Gradient [°C/min];1,00
Target Temperature [°C] ;-20,00
