Time [MM:SS];Image file path;T1;T2;T3;T4;T5;T6;T7;T8;V1;V2;V3;V4;V5;V6;V7;V8
12-36-06_939;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_10/Images/12-36-06_939.PNG;-6,531006;31,390345;29,850046;30,988294;NaN;NaN;NaN;NaN;8,098554;4,591176;4,734624;4,628423;12,094187;12,095574;12,095944;12,097837
12-36-07_435;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_10/Images/12-36-07_435.PNG;-6,531699;31,138086;29,853002;30,806275;NaN;NaN;NaN;NaN;8,098606;4,614529;4,734347;4,645332;12,094211;12,095562;12,095939;12,097834
12-36-08_089;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_10/Images/12-36-08_089.PNG;-6,533197;30,884014;29,838542;30,823021;NaN;NaN;NaN;NaN;8,098718;4,638107;4,735703;4,643776;12,094200;12,095599;12,095941;12,097870
12-36-08_434;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_10/Images/12-36-08_434.PNG;-6,533332;30,659653;29,860617;30,701421;NaN;NaN;NaN;NaN;8,098728;4,658974;4,733633;4,655086;12,094187;12,095555;12,095913;12,097864
12-36-09_088;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_10/Images/12-36-09_088.PNG;-6,534376;30,523073;29,555683;30,554095;NaN;NaN;NaN;NaN;8,098806;4,671698;4,762262;4,668806;12,094180;12,095558;12,095904;12,097867
12-36-09_434;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_10/Images/12-36-09_434.PNG;-6,534702;30,513066;29,503082;30,601320;NaN;NaN;NaN;NaN;8,098830;4,672631;4,767208;4,664406;12,094198;12,095570;12,095935;12,097842
12-36-10_089;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_10/Images/12-36-10_089.PNG;-6,535961;30,581371;29,581840;30,582452;NaN;NaN;NaN;NaN;8,098925;4,666265;4,759804;4,666164;12,094187;12,095567;12,095996;12,097889
12-36-10_437;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_10/Images/12-36-10_437.PNG;-6,536702;30,350336;29,437658;30,477569;NaN;NaN;NaN;NaN;8,098980;4,687813;4,773363;4,675941;12,094146;12,095533;12,095869;12,097834
12-36-11_092;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_10/Images/12-36-11_092.PNG;-6,536447;30,158960;29,566316;30,134960;NaN;NaN;NaN;NaN;8,098961;4,705695;4,761263;4,707940;12,094146;12,095535;12,095869;12,097831
12-36-11_434;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_10/Images/12-36-11_434.PNG;-6,537324;30,189014;29,603093;30,208084;NaN;NaN;NaN;NaN;8,099027;4,702885;4,757806;4,701102;12,094138;12,095550;12,095890;12,097821
