Time [MM:SS];Image file path;T1;T2;T3;T4;T5;T6;T7;T8;V1;V2;V3;V4;V5;V6;V7;V8
15-22-05_630;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_7/Images/15-22-05_630.PNG;-73,758729;0,058849;-0,112001;-0,203049;-74,825748;-74,716931;-74,925681;-74,442855;11,885756;5,062312;5,078652;5,095879;11,887797;11,885904;11,885579;11,884229
15-22-06_130;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_7/Images/15-22-06_130.PNG;-73,761937;0,053274;-0,117650;-0,208272;-74,820655;-74,723235;-74,933154;-74,446656;11,885791;5,063137;5,079489;5,096655;11,887744;11,885971;11,885659;11,884270
15-22-06_629;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_7/Images/15-22-06_629.PNG;-73,761273;0,048239;-0,122458;-0,213739;-74,819410;-74,721115;-74,930700;-74,445664;11,885784;5,063883;5,080201;5,097467;11,887730;11,885948;11,885632;11,884259
15-22-07_129;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_7/Images/15-22-07_129.PNG;-73,762877;0,043510;-0,126892;-0,217974;-74,817543;-74,720110;-74,928302;-74,449412;11,885801;5,064583;5,080858;5,098096;11,887711;11,885938;11,885607;11,884300
15-22-07_629;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_7/Images/15-22-07_629.PNG;-73,758729;0,039236;-0,130106;-0,222474;-74,818788;-74,717043;-74,929306;-74,447373;11,885756;5,065216;5,081334;5,098765;11,887724;11,885905;11,885617;11,884278
15-22-08_129;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_7/Images/15-22-08_129.PNG;-73,760277;0,035160;-0,131989;-0,225987;-74,823031;-74,719608;-74,927465;-74,446160;11,885773;5,065820;5,081613;5,099287;11,887769;11,885932;11,885598;11,884264
15-22-08_629;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_7/Images/15-22-08_629.PNG;-73,761992;0,031208;-0,133405;-0,229155;-74,821221;-74,719999;-74,929027;-74,443626;11,885792;5,066405;5,081823;5,099758;11,887750;11,885936;11,885615;11,884237
15-22-09_129;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_7/Images/15-22-09_129.PNG;-73,764481;0,027422;-0,133590;-0,231425;-74,823144;-74,722007;-74,933433;-74,447593;11,885818;5,066966;5,081851;5,100096;11,887770;11,885958;11,885662;11,884280
15-22-09_630;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_7/Images/15-22-09_630.PNG;-73,763983;0,024420;-0,133835;-0,232595;-74,817091;-74,719274;-74,932150;-74,446436;11,885813;5,067411;5,081887;5,100270;11,887706;11,885929;11,885648;11,884267
15-22-10_129;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_7/Images/15-22-10_129.PNG;-73,760996;0,021954;-0,132781;-0,233446;-74,822069;-74,719051;-74,931983;-74,446711;11,885781;5,067776;5,081731;5,100396;11,887758;11,885926;11,885646;11,884270
15-22-10_629;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_7/Images/15-22-10_629.PNG;-73,760720;0,019914;-0,131623;-0,233205;-74,820994;-74,716039;-74,932039;-74,450018;11,885778;5,068078;5,081559;5,100360;11,887747;11,885894;11,885647;11,884306
15-22-11_129;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_7/Images/15-22-11_129.PNG;-73,762877;0,018422;-0,130138;-0,232876;-74,820994;-74,719497;-74,933824;-74,448585;11,885801;5,068299;5,081339;5,100311;11,887747;11,885931;11,885666;11,884291
15-22-11_629;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_7/Images/15-22-11_629.PNG;-73,763596;0,017263;-0,128417;-0,231008;-74,823597;-74,719887;-74,934717;-74,448916;11,885809;5,068471;5,081084;5,100034;11,887775;11,885935;11,885675;11,884294
15-22-12_129;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_7/Images/15-22-12_129.PNG;-73,761439;0,017858;-0,126003;-0,229111;-74,818958;-74,716597;-74,932429;-74,447152;11,885786;5,068383;5,080726;5,099752;11,887726;11,885900;11,885651;11,884275
15-22-12_630;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_7/Images/15-22-12_630.PNG;-73,761660;0,017633;-0,123541;-0,226460;-74,823540;-74,714031;-74,930477;-74,444397;11,885788;5,068416;5,080362;5,099358;11,887774;11,885873;11,885630;11,884245
15-22-13_129;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_7/Images/15-22-13_129.PNG;-73,761771;0,018675;-0,120781;-0,223517;-74,822918;-74,718270;-74,928915;-74,445334;11,885789;5,068262;5,079953;5,098920;11,887767;11,885918;11,885613;11,884256
15-22-13_630;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_7/Images/15-22-13_630.PNG;-73,756849;0,019870;-0,117646;-0,220092;-74,823258;-74,717712;-74,933266;-74,450845;11,885736;5,068085;5,079488;5,098411;11,887771;11,885912;11,885660;11,884315
15-22-14_130;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_7/Images/15-22-14_130.PNG;-73,761162;0,021391;-0,113904;-0,215780;-74,823880;-74,717991;-74,933099;-74,448750;11,885783;5,067860;5,078934;5,097770;11,887778;11,885915;11,885658;11,884292
15-22-14_629;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_7/Images/15-22-14_629.PNG;-73,761328;0,023080;-0,110094;-0,211681;-74,819806;-74,718325;-74,933824;-74,444728;11,885784;5,067609;5,078370;5,097161;11,887735;11,885918;11,885666;11,884249
15-22-15_129;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_7/Images/15-22-15_129.PNG;-73,762821;0,024815;-0,106190;-0,207494;-74,824955;-74,719776;-74,929863;-74,446436;11,885800;5,067352;5,077792;5,096539;11,887789;11,885934;11,885623;11,884267
