Time [MM:SS];Image file path;T1;T2;T3;T4;T5;T6;T7;T8;V1;V2;V3;V4;V5;V6;V7;V8
15-19-36_896;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_17/Images/15-19-36_896.PNG;4,444945;-58,876890;-59,045907;-58,872686;NaN;-58,861949;-58,899262;-59,117382;8,776944;12,096324;12,097826;12,096287;12,216595;12,096191;12,096524;12,098456
15-19-37_395;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_17/Images/15-19-37_395.PNG;4,444552;-58,869885;-59,039972;-58,877157;NaN;-58,860349;-58,902737;-59,120906;8,776987;12,096262;12,097773;12,096326;12,216625;12,096176;12,096555;12,098487
15-19-38_169;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_17/Images/15-19-38_169.PNG;4,444676;-58,877958;-59,049686;-58,878225;NaN;-58,861882;-58,903339;-59,117992;8,776973;12,096334;12,097859;12,096336;12,216602;12,096190;12,096560;12,098461
15-19-38_964;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_17/Images/15-19-38_964.PNG;4,445085;-58,871819;-59,041321;-58,875155;NaN;-58,858349;-58,903472;-59,117788;8,776928;12,096279;12,097785;12,096309;12,216652;12,096158;12,096561;12,098459
15-19-39_396;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_17/Images/15-19-39_396.PNG;4,444956;-58,877224;-59,046042;-58,877157;NaN;-58,853618;-58,901801;-59,117788;8,776942;12,096327;12,097827;12,096326;12,216547;12,096116;12,096546;12,098459
15-19-40_170;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_17/Images/15-19-40_170.PNG;4,445064;-58,877758;-59,045975;-58,874688;NaN;-58,859683;-58,902603;-59,115213;8,776930;12,096332;12,097826;12,096304;12,216619;12,096170;12,096554;12,098436
15-19-40_963;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_17/Images/15-19-40_963.PNG;4,444897;-58,879626;-59,050293;-58,877624;NaN;-58,863749;-58,901133;-59,112638;8,776949;12,096349;12,097864;12,096331;12,216606;12,096207;12,096540;12,098414
15-19-41_395;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_17/Images/15-19-41_395.PNG;4,445548;-58,873220;-59,046042;-58,877758;NaN;-58,858883;-58,903807;-59,115213;8,776877;12,096291;12,097827;12,096332;12,216600;12,096163;12,096564;12,098436
