Time [MM:SS];Image file path;T1;T2;T3;T4;T5;T6;T7;T8;V1;V2;V3;V4;V5;V6;V7;V8
09-29-30_505;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_23/Images/09-29-30_505.PNG;-73,673538;22,564861;22,555355;22,501135;-74,720963;-74,630834;-74,844703;-74,371877;11,884835;2,411705;2,410473;2,415855;11,886689;11,884980;11,884710;11,883459
09-29-30_966;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_23/Images/09-29-30_966.PNG;-73,673813;22,564224;22,554690;22,501233;-74,721131;-74,629948;-74,845202;-74,370015;11,884838;2,411760;2,410529;2,415847;11,886691;11,884971;11,884716;11,883438
09-29-31_432;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_23/Images/09-29-31_432.PNG;-73,672385;22,564238;22,555488;22,501345;-74,718661;-74,627456;-74,846255;-74,371384;11,884822;2,411758;2,410461;2,415837;11,886665;11,884944;11,884727;11,883453
