Time [MM:SS];Image file path;T1;T2;T3;T4;T5;T6;T7;T8;V1;V2;V3;V4;V5;V6;V7;V8
15-28-00_496;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_13/Images/15-28-00_496.PNG;-73,764094;4,192015;4,165052;4,051887;-74,823484;-74,720278;-74,936167;-74,448310;11,885814;4,469834;4,466002;4,484323;11,887773;11,885939;11,885691;11,884288
15-28-00_995;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_13/Images/15-28-00_995.PNG;-73,761328;4,195778;4,169064;4,056198;-74,824729;-74,715314;-74,932429;-74,446656;11,885784;4,469313;4,465449;4,483726;11,887787;11,885886;11,885651;11,884270
15-28-01_496;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_13/Images/15-28-01_496.PNG;-73,763153;4,199502;4,172934;4,060273;-74,820655;-74,721282;-74,932931;-74,445058;11,885804;4,468798;4,464914;4,483161;11,887744;11,885950;11,885656;11,884253
15-28-01_996;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_13/Images/15-28-01_996.PNG;-73,765034;4,203114;4,176942;4,064504;-74,821221;-74,717768;-74,932429;-74,448420;11,885824;4,468299;4,464361;4,482575;11,887750;11,885913;11,885651;11,884289
15-28-02_499;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_13/Images/15-28-02_499.PNG;-73,761881;4,207171;4,180601;4,068046;-74,823258;-74,720110;-74,935944;-74,448916;11,885790;4,467738;4,463856;4,482085;11,887771;11,885938;11,885688;11,884294
