Time [MM:SS];Image file path;T1;T2;T3;T4;T5;T6;T7;T8;V1;V2;V3;V4;V5;V6;V7;V8
09-31-06_389;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_25/Images/09-31-06_389.PNG;-73,668542;22,570029;22,560660;22,506681;-74,718774;-74,625684;-74,842986;-74,365688;11,884781;2,411265;2,410022;2,415382;11,886666;11,884925;11,884692;11,883391
09-31-07_321;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_25/Images/09-31-07_321.PNG;-73,671342;22,570337;22,560934;22,507395;-74,720738;-74,625794;-74,837226;-74,370946;11,884811;2,411239;2,409998;2,415322;11,886687;11,884926;11,884630;11,883448
09-31-07_786;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_25/Images/09-31-07_786.PNG;-73,670793;22,570351;22,561214;22,506877;-74,717371;-74,623801;-74,840050;-74,368098;11,884805;2,411238;2,409974;2,415366;11,886651;11,884905;11,884660;11,883417
09-31-08_369;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_25/Images/09-31-08_369.PNG;-73,673703;22,570225;22,560653;22,506947;-74,716192;-74,625850;-74,842488;-74,367824;11,884837;2,411248;2,410022;2,415360;11,886639;11,884927;11,884686;11,883414
09-31-08_835;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_25/Images/09-31-08_835.PNG;-73,674307;22,570085;22,560737;22,506870;-74,721917;-74,627345;-74,848638;-74,373356;11,884843;2,411260;2,410015;2,415366;11,886699;11,884943;11,884753;11,883475
09-31-09_300;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_25/Images/09-31-09_300.PNG;-73,673373;22,570470;22,561060;22,507143;-74,723994;-74,630834;-74,842765;-74,370727;11,884833;2,411227;2,409988;2,415343;11,886721;11,884980;11,884689;11,883446
09-31-09_883;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_25/Images/09-31-09_883.PNG;-73,672440;22,570330;22,560906;22,507157;-74,718269;-74,628896;-74,838223;-74,371932;11,884823;2,411239;2,410001;2,415342;11,886661;11,884959;11,884641;11,883459
09-31-10_815;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_25/Images/09-31-10_815.PNG;-73,674582;22,570540;22,560499;22,507472;-74,719503;-74,629339;-74,840770;-74,371439;11,884846;2,411221;2,410035;2,415315;11,886674;11,884964;11,884668;11,883454
09-31-11_397;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_25/Images/09-31-11_397.PNG;-73,674966;22,570540;22,560885;22,507241;-74,723658;-74,630613;-74,843762;-74,368864;11,884850;2,411221;2,410002;2,415335;11,886718;11,884978;11,884700;11,883426
09-31-12_329;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_25/Images/09-31-12_329.PNG;-73,676010;22,570330;22,561025;22,507702;-74,719616;-74,630779;-74,847141;-74,370015;11,884862;2,411239;2,409991;2,415295;11,886675;11,884980;11,884737;11,883438
09-31-12_795;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_25/Images/09-31-12_795.PNG;-73,675680;22,570491;22,561200;22,507031;-74,720009;-74,629117;-74,843762;-74,362896;11,884858;2,411226;2,409976;2,415353;11,886679;11,884962;11,884700;11,883361
09-31-13_377;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_25/Images/09-31-13_377.PNG;-73,676504;22,571212;22,561039;22,506905;-74,718044;-74,629893;-74,841989;-74,366674;11,884867;2,411164;2,409989;2,415363;11,886658;11,884970;11,884681;11,883402
09-31-14_309;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_25/Images/09-31-14_309.PNG;-73,676229;22,570414;22,561046;22,507486;-74,720177;-74,627345;-74,843651;-74,370562;11,884864;2,411232;2,409989;2,415314;11,886681;11,884943;11,884699;11,883444
09-31-14_891;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_25/Images/09-31-14_891.PNG;-73,674691;22,570953;22,561291;22,507500;-74,720177;-74,626348;-74,839663;-74,368700;11,884847;2,411186;2,409968;2,415313;11,886681;11,884932;11,884656;11,883424
09-31-15_824;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_25/Images/09-31-15_824.PNG;-73,676889;22,570708;22,561046;22,507514;-74,718605;-74,628231;-74,838777;-74,367386;11,884871;2,411207;2,409989;2,415311;11,886664;11,884952;11,884647;11,883410
09-31-16_289;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_25/Images/09-31-16_289.PNG;-73,674417;22,571316;22,561536;22,507542;-74,720233;-74,627345;-74,840272;-74,369029;11,884844;2,411155;2,409947;2,415309;11,886681;11,884943;11,884663;11,883428
09-31-16_872;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_25/Images/09-31-16_872.PNG;-73,676724;22,570897;22,561585;22,507507;-74,719110;-74,627289;-74,844316;-74,372863;11,884869;2,411191;2,409943;2,415312;11,886670;11,884942;11,884706;11,883469
09-31-17_805;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_25/Images/09-31-17_805.PNG;-73,674417;22,570498;22,561207;22,507507;-74,719840;-74,627566;-74,842598;-74,371001;11,884844;2,411225;2,409975;2,415312;11,886677;11,884945;11,884688;11,883449
09-31-18_386;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_25/Images/09-31-18_386.PNG;-73,669145;22,570666;22,561768;22,507975;-74,717090;-74,627511;-74,842931;-74,366619;11,884787;2,411211;2,409927;2,415272;11,886648;11,884945;11,884691;11,883401
09-31-19_319;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_25/Images/09-31-19_319.PNG;-73,671451;22,571030;22,561109;22,507737;-74,716192;-74,627511;-74,842377;-74,365360;11,884812;2,411180;2,409983;2,415292;11,886639;11,884945;11,884685;11,883388
09-31-19_784;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_25/Images/09-31-19_784.PNG;-73,672934;22,570953;22,561634;22,507486;-74,720177;-74,630779;-74,842654;-74,370015;11,884828;2,411186;2,409939;2,415314;11,886681;11,884980;11,884688;11,883438
09-31-20_366;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_25/Images/09-31-20_366.PNG;-73,674307;22,570834;22,561473;22,508325;-74,716304;-74,629339;-74,844094;-74,372754;11,884843;2,411196;2,409952;2,415242;11,886640;11,884964;11,884704;11,883468
09-31-20_831;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_25/Images/09-31-20_831.PNG;-73,672055;22,570988;22,561824;22,507325;-74,717820;-74,629339;-74,838832;-74,367057;11,884819;2,411183;2,409923;2,415328;11,886656;11,884964;11,884647;11,883406
09-31-21_298;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_25/Images/09-31-21_298.PNG;-73,672001;22,571351;22,561929;22,507912;-74,718605;-74,627788;-74,844039;-74,372644;11,884818;2,411152;2,409914;2,415278;11,886664;11,884948;11,884703;11,883467
09-31-21_880;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_25/Images/09-31-21_880.PNG;-73,669200;22,571009;22,562139;22,507835;-74,718718;-74,626459;-74,846643;-74,367605;11,884788;2,411181;2,409896;2,415284;11,886665;11,884933;11,884731;11,883412
09-31-22_812;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_25/Images/09-31-22_812.PNG;-73,672165;22,571561;22,561929;22,507556;-74,722029;-74,626957;-74,845701;-74,370836;11,884820;2,411134;2,409914;2,415308;11,886701;11,884939;11,884721;11,883447
09-31-23_394;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_25/Images/09-31-23_394.PNG;-73,674142;22,570862;22,561676;22,507814;-74,717876;-74,625296;-74,842044;-74,364429;11,884841;2,411194;2,409935;2,415286;11,886656;11,884921;11,884682;11,883378
09-31-24_326;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_25/Images/09-31-24_326.PNG;-73,676120;22,571414;22,561873;22,508206;-74,722647;-74,631554;-74,846476;-74,371549;11,884863;2,411147;2,409918;2,415252;11,886707;11,884988;11,884729;11,883455
09-31-24_792;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_25/Images/09-31-24_792.PNG;-73,672001;22,571631;22,562497;22,507912;-74,717988;-74,627179;-74,844593;-74,367605;11,884818;2,411128;2,409865;2,415278;11,886658;11,884941;11,884709;11,883412
09-31-25_374;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_25/Images/09-31-25_374.PNG;-73,673373;22,571617;22,561719;22,508178;-74,721300;-74,626791;-74,841380;-74,365305;11,884833;2,411130;2,409932;2,415255;11,886693;11,884937;11,884675;11,883387
09-31-26_306;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_25/Images/09-31-26_306.PNG;-73,671397;22,571044;22,562181;22,507954;-74,717539;-74,622085;-74,837946;-74,366345;11,884812;2,411178;2,409892;2,415274;11,886653;11,884886;11,884638;11,883398
09-31-26_888;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_25/Images/09-31-26_888.PNG;-73,673923;22,571414;22,562034;22,507898;-74,715799;-74,625462;-74,839552;-74,368591;11,884839;2,411147;2,409905;2,415279;11,886634;11,884922;11,884655;11,883423
09-31-27_820;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_25/Images/09-31-27_820.PNG;-73,677603;22,571296;22,561936;22,508521;-74,715407;-74,622472;-74,844039;-74,368536;11,884879;2,411157;2,409913;2,415226;11,886630;11,884890;11,884703;11,883422
09-31-28_287;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_25/Images/09-31-28_287.PNG;-73,672879;22,571282;22,562153;22,508171;-74,716809;-74,624853;-74,841989;-74,366729;11,884828;2,411158;2,409895;2,415255;11,886645;11,884916;11,884681;11,883403
09-31-28_868;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_25/Images/09-31-28_868.PNG;-73,672989;22,571254;22,562595;22,508549;-74,720233;-74,624632;-74,842155;-74,367824;11,884829;2,411161;2,409857;2,415223;11,886681;11,884914;11,884683;11,883414
09-31-29_335;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_25/Images/09-31-29_335.PNG;-73,674087;22,571785;22,561971;22,508220;-74,717651;-74,627400;-74,843429;-74,366345;11,884841;2,411115;2,409910;2,415251;11,886654;11,884943;11,884697;11,883398
09-31-29_801;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_25/Images/09-31-29_801.PNG;-73,674691;22,571757;22,562132;22,508612;-74,719784;-74,627511;-74,842432;-74,369029;11,884847;2,411118;2,409896;2,415218;11,886677;11,884945;11,884686;11,883428
09-31-30_383;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_25/Images/09-31-30_383.PNG;-73,674691;22,571540;22,562048;22,509010;-74,722984;-74,629062;-74,843872;-74,366455;11,884847;2,411136;2,409904;2,415184;11,886711;11,884961;11,884701;11,883400
09-31-31_314;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_25/Images/09-31-31_314.PNG;-73,675296;22,571820;22,562125;22,508850;-74,718942;-74,627179;-74,842488;-74,368755;11,884854;2,411112;2,409897;2,415198;11,886668;11,884941;11,884686;11,883425
09-31-31_898;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_25/Images/09-31-31_898.PNG;-73,671781;22,572086;22,562588;22,508451;-74,715968;-74,625074;-74,843485;-74,368426;11,884816;2,411090;2,409858;2,415232;11,886636;11,884918;11,884697;11,883421
09-31-32_829;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_25/Images/09-31-32_829.PNG;-73,673593;22,572513;22,562518;22,508276;-74,720289;-74,628397;-74,838611;-74,367386;11,884835;2,411053;2,409864;2,415247;11,886682;11,884954;11,884645;11,883410
09-31-33_295;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_25/Images/09-31-33_295.PNG;-73,675405;22,571946;22,562798;22,508661;-74,718549;-74,627456;-74,840937;-74,364703;11,884855;2,411102;2,409840;2,415214;11,886664;11,884944;11,884670;11,883381
09-31-33_878;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_25/Images/09-31-33_878.PNG;-73,672440;22,571757;22,562034;22,507870;-74,716809;-74,630446;-74,841767;-74,369577;11,884823;2,411118;2,409905;2,415281;11,886645;11,884976;11,884679;11,883434
09-31-34_809;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_25/Images/09-31-34_809.PNG;-73,670353;22,572114;22,562300;22,509080;-74,719054;-74,625517;-74,840826;-74,367331;11,884800;2,411087;2,409882;2,415178;11,886669;11,884923;11,884669;11,883409
09-31-35_391;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_25/Images/09-31-35_391.PNG;-73,672934;22,572135;22,562651;22,508591;-74,718998;-74,628896;-74,842432;-74,368700;11,884828;2,411086;2,409852;2,415220;11,886668;11,884959;11,884686;11,883424
09-31-36_323;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_25/Images/09-31-36_323.PNG;-73,668597;22,571925;22,562581;22,508654;-74,713667;-74,623690;-74,839497;-74,365305;11,884781;2,411103;2,409858;2,415214;11,886612;11,884903;11,884654;11,883387
09-31-36_789;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_25/Images/09-31-36_789.PNG;-73,672220;22,571932;22,562658;22,508955;-74,718212;-74,621753;-74,834513;-74,368152;11,884821;2,411103;2,409852;2,415189;11,886660;11,884883;11,884601;11,883418
09-31-37_372;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_25/Images/09-31-37_372.PNG;-73,672330;22,572191;22,562398;22,508458;-74,724387;-74,629893;-74,844039;-74,367660;11,884822;2,411081;2,409874;2,415231;11,886726;11,884970;11,884703;11,883413
09-31-37_838;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_25/Images/09-31-37_838.PNG;-73,671616;22,572303;22,562574;22,509080;-74,717315;-74,626846;-74,844094;-74,368152;11,884814;2,411071;2,409859;2,415178;11,886650;11,884937;11,884704;11,883418
09-31-38_303;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_25/Images/09-31-38_303.PNG;-73,669365;22,572156;22,562490;22,509108;-74,718718;-74,625185;-74,837005;-74,367112;11,884790;2,411084;2,409866;2,415176;11,886665;11,884920;11,884627;11,883407
09-31-38_886;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_25/Images/09-31-38_886.PNG;-73,670024;22,572751;22,562910;22,509318;-74,717988;-74,627733;-74,840715;-74,370946;11,884797;2,411033;2,409830;2,415158;11,886658;11,884947;11,884667;11,883448
09-31-39_818;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_25/Images/09-31-39_818.PNG;-73,671726;22,572205;22,562798;22,508759;-74,721019;-74,626237;-74,840881;-74,369084;11,884815;2,411080;2,409840;2,415205;11,886690;11,884931;11,884669;11,883428
09-31-40_283;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_25/Images/09-31-40_283.PNG;-73,673703;22,572128;22,562609;22,508724;-74,717595;-74,628397;-74,842211;-74,365141;11,884837;2,411086;2,409856;2,415208;11,886653;11,884954;11,884683;11,883385
09-31-40_866;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_25/Images/09-31-40_866.PNG;-73,675076;22,572170;22,563282;22,508668;-74,717820;-74,623690;-74,846754;-74,364319;11,884852;2,411083;2,409799;2,415213;11,886656;11,884903;11,884732;11,883376
09-31-41_332;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_25/Images/09-31-41_332.PNG;-73,672934;22,572009;22,563408;22,508556;-74,721580;-74,623912;-74,838832;-74,371713;11,884828;2,411096;2,409788;2,415223;11,886696;11,884906;11,884647;11,883457
09-31-41_798;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_25/Images/09-31-41_798.PNG;-73,674527;22,572366;22,562931;22,509185;-74,715126;-74,632607;-74,838223;-74,369577;11,884846;2,411066;2,409828;2,415169;11,886627;11,884999;11,884641;11,883434
09-31-42_380;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_25/Images/09-31-42_380.PNG;-73,674417;22,572597;22,562882;22,509115;-74,716922;-74,627400;-74,839164;-74,372042;11,884844;2,411046;2,409833;2,415175;11,886646;11,884943;11,884651;11,883460
09-31-43_312;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_25/Images/09-31-43_312.PNG;-73,673758;22,572464;22,563443;22,508780;-74,719672;-74,629062;-74,842543;-74,367988;11,884837;2,411057;2,409785;2,415204;11,886675;11,884961;11,884687;11,883416
09-31-43_894;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_25/Images/09-31-43_894.PNG;-73,670793;22,572527;22,562840;22,509066;-74,721636;-74,627511;-74,846033;-74,367057;11,884805;2,411052;2,409836;2,415179;11,886696;11,884945;11,884725;11,883406
