Time [MM:SS];Image file path;T1;T2;T3;T4;T5;T6;T7;T8;V1;V2;V3;V4;V5;V6;V7;V8
11-53-35_275;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_4/Images/11-53-35_275.PNG;38,032721;9,257647;25,183055;25,116998;111,132510;30,222165;26,079745;61,318473;1,391242;3,803981;2,196384;2,202256;0,153120;1,830436;2,122228;0,634040
11-53-35_775;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_4/Images/11-53-35_775.PNG;38,044237;9,260581;25,187697;25,116799;111,156411;30,226035;26,084635;61,304349;1,390680;3,803616;2,196022;2,202271;0,153028;1,830185;2,121860;0,634328
11-53-36_275;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_4/Images/11-53-36_275.PNG;38,049299;9,264000;25,192815;25,116334;111,151411;30,231712;26,087120;61,309173;1,390433;3,803191;2,195624;2,202308;0,153047;1,829816;2,121673;0,634229
11-53-36_775;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_4/Images/11-53-36_775.PNG;38,057824;9,265818;25,196854;25,115502;111,123922;30,240327;26,087919;61,288363;1,390018;3,802966;2,195309;2,202373;0,153152;1,829256;2,121613;0,634654
11-53-37_275;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_4/Images/11-53-37_275.PNG;38,049262;9,267731;25,196280;25,113992;111,146880;30,239271;26,095217;61,294002;1,390435;3,802728;2,195354;2,202491;0,153065;1,829324;2,121063;0,634539
11-53-37_775;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_4/Images/11-53-37_775.PNG;38,036657;9,269367;25,196586;25,114343;111,139538;30,226961;26,104560;61,287895;1,391050;3,802524;2,195330;2,202463;0,153093;1,830124;2,120360;0,634663
11-53-38_275;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_4/Images/11-53-38_275.PNG;38,052748;9,270757;25,199539;25,115556;111,140475;30,236482;26,109422;61,284886;1,390265;3,802352;2,195100;2,202369;0,153089;1,829506;2,119994;0,634725
11-53-38_775;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_4/Images/11-53-38_775.PNG;38,068078;9,271956;25,204268;25,119538;111,132041;30,245273;26,107688;61,284915;1,389518;3,802203;2,194731;2,202057;0,153121;1,828935;2,120124;0,634724
11-53-39_275;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_4/Images/11-53-39_275.PNG;38,035214;9,273031;25,211715;25,125779;111,133447;30,246264;26,115656;61,226842;1,391120;3,802069;2,194151;2,201570;0,153116;1,828870;2,119525;0,635910
11-53-39_775;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_4/Images/11-53-39_775.PNG;38,125855;9,274475;25,216936;25,130946;111,134384;30,252111;26,114967;61,214835;1,386708;3,801890;2,193745;2,201166;0,153112;1,828491;2,119576;0,636156
11-53-40_275;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_4/Images/11-53-40_275.PNG;38,147952;9,275683;25,219799;25,135289;111,128918;30,222697;26,112614;61,194504;1,385634;3,801739;2,193522;2,200827;0,153133;1,830402;2,119753;0,636572
11-53-40_775;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_4/Images/11-53-40_775.PNG;38,146529;9,277103;25,223927;25,140678;111,138132;30,202118;26,125203;61,196222;1,385703;3,801563;2,193201;2,200406;0,153098;1,831740;2,118806;0,636537
11-53-41_275;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_4/Images/11-53-41_275.PNG;38,144074;9,278091;25,230191;25,144565;111,132510;30,274371;26,135103;61,178902;1,385822;3,801440;2,192713;2,200103;0,153120;1,827046;2,118062;0,636891
11-53-41_775;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_4/Images/11-53-41_775.PNG;38,145817;9,279526;25,238066;25,148734;111,147505;30,307058;26,144672;61,205104;1,385738;3,801262;2,192100;2,199777;0,153062;1,824926;2,117342;0,636355
11-53-42_275;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_4/Images/11-53-42_275.PNG;38,124003;9,280768;25,247177;25,152782;111,153442;30,320315;26,150660;61,208513;1,386798;3,801108;2,191392;2,199462;0,153040;1,824067;2,116892;0,636285
11-53-42_775;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_4/Images/11-53-42_775.PNG;38,082633;9,282543;25,254865;25,156524;111,143599;30,328202;26,142349;61,182773;1,388810;3,800887;2,190794;2,199170;0,153077;1,823557;2,117517;0,636812
11-53-43_275;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_4/Images/11-53-43_275.PNG;38,187334;9,284390;25,262370;25,159641;111,136570;30,338034;26,132590;61,189613;1,383723;3,800658;2,190210;2,198926;0,153104;1,822920;2,118251;0,636672
11-53-43_775;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_4/Images/11-53-43_775.PNG;38,193235;9,285877;25,270384;25,162208;111,140319;30,363422;26,123167;61,109561;1,383437;3,800473;2,189587;2,198726;0,153090;1,821277;2,118960;0,638313
11-53-44_275;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_4/Images/11-53-44_275.PNG;38,204980;9,287470;25,277756;25,166365;111,147817;30,372621;26,136593;61,119489;1,382868;3,800275;2,189015;2,198402;0,153061;1,820682;2,117950;0,638109
11-53-44_775;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_4/Images/11-53-44_775.PNG;38,203627;9,289500;25,281646;25,167832;111,148442;30,368178;26,130973;61,096851;1,382933;3,800023;2,188712;2,198287;0,153059;1,820970;2,118372;0,638574
11-53-45_275;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_4/Images/11-53-45_275.PNG;38,205287;9,291582;25,280242;25,167954;111,131729;30,383917;26,142896;61,091774;1,382853;3,799764;2,188822;2,198278;0,153123;1,819952;2,117476;0,638679
11-53-45_775;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_4/Images/11-53-45_775.PNG;38,192178;9,293353;25,278554;25,166113;111,142037;30,387652;26,158902;61,027864;1,383488;3,799544;2,188953;2,198421;0,153083;1,819711;2,116273;0,639994
11-53-46_275;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_4/Images/11-53-46_275.PNG;38,205583;9,295848;25,276513;25,163591;111,141568;30,395706;26,122668;61,049402;1,382839;3,799234;2,189111;2,198618;0,153085;1,819190;2,118997;0,639550
11-53-46_775;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_4/Images/11-53-46_775.PNG;38,208547;9,298046;25,273705;25,166739;111,139069;30,401630;26,131766;61,106368;1,382695;3,798961;2,189329;2,198373;0,153095;1,818808;2,118313;0,638379
11-53-47_275;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_4/Images/11-53-47_275.PNG;38,211402;9,301228;25,273506;25,171049;111,142349;30,403420;26,137410;61,081421;1,382557;3,798566;2,189345;2,198036;0,153082;1,818692;2,117888;0,638891
11-53-47_776;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_4/Images/11-53-47_776.PNG;38,191083;9,304775;25,272678;25,176300;111,145786;30,403457;26,111965;61,077826;1,383541;3,798126;2,189409;2,197627;0,153069;1,818690;2,119802;0,638965
11-53-48_275;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_4/Images/11-53-48_275.PNG;38,187826;9,307857;25,271604;25,184924;111,144536;30,400781;26,114119;61,071420;1,383699;3,797743;2,189493;2,196955;0,153074;1,818863;2,119640;0,639097
11-53-48_776;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_4/Images/11-53-48_776.PNG;38,184974;9,311102;25,272348;25,195982;111,143130;30,400319;26,118564;61,082697;1,383838;3,797340;2,189435;2,196093;0,153079;1,818892;2,119306;0,638865
11-53-49_275;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_4/Images/11-53-49_275.PNG;38,182319;9,314520;25,275938;25,202171;111,145630;30,407731;26,108844;61,080552;1,383966;3,796916;2,189156;2,195611;0,153070;1,818414;2,120037;0,638909
11-53-49_775;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_4/Images/11-53-49_775.PNG;38,173189;9,317449;25,283119;25,206279;111,140006;30,409097;26,112155;61,063567;1,384409;3,796552;2,188598;2,195290;0,153091;1,818326;2,119788;0,639259
11-53-50_275;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_4/Images/11-53-50_275.PNG;38,151525;9,320598;25,290440;25,208590;111,151723;30,412670;26,118263;61,043292;1,385461;3,796161;2,188029;2,195110;0,153046;1,818095;2,119329;0,639676
