Time [MM:SS];Image file path;T2;T3;T4;V2;V3;V4
13-14-17_162;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_32/Images/13-14-17_162.PNG;23,901764;23,894379;23,841787;2,300236;2,299041;2,304064
13-14-17_670;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_32/Images/13-14-17_670.PNG;23,901698;23,894211;23,842057;2,300241;2,299054;2,304042
13-14-18_178;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_32/Images/13-14-18_178.PNG;23,901859;23,894145;23,841721;2,300228;2,299060;2,304069
13-14-18_688;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_32/Images/13-14-18_688.PNG;23,901647;23,894328;23,841809;2,300245;2,299045;2,304062
13-14-19_197;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_32/Images/13-14-19_197.PNG;23,901501;23,894753;23,841487;2,300257;2,299010;2,304088
13-14-19_707;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_32/Images/13-14-19_707.PNG;23,901216;23,894357;23,841421;2,300280;2,299042;2,304093
13-14-20_215;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_32/Images/13-14-20_215.PNG;23,901706;23,894958;23,841736;2,300241;2,298994;2,304068
13-14-20_725;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_32/Images/13-14-20_725.PNG;23,901779;23,894658;23,841553;2,300235;2,299018;2,304083
13-14-21_234;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_32/Images/13-14-21_234.PNG;23,901954;23,894577;23,841772;2,300220;2,299025;2,304065
13-14-21_744;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_32/Images/13-14-21_744.PNG;23,901991;23,894958;23,841524;2,300217;2,298994;2,304085
13-14-22_253;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_32/Images/13-14-22_253.PNG;23,902034;23,895485;23,841787;2,300214;2,298951;2,304064
13-14-23_271;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_32/Images/13-14-23_271.PNG;23,902217;23,895515;23,841706;2,300199;2,298948;2,304070
13-14-24_163;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_32/Images/13-14-24_163.PNG;23,901969;23,894680;23,841926;2,300219;2,299016;2,304052
13-14-24_672;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_32/Images/13-14-24_672.PNG;23,902181;23,895112;23,841619;2,300202;2,298981;2,304077
13-14-25_182;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_32/Images/13-14-25_182.PNG;23,902232;23,894921;23,842744;2,300198;2,298997;2,303985
13-14-25_691;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_32/Images/13-14-25_691.PNG;23,902692;23,894863;23,841728;2,300160;2,299001;2,304068
13-14-26_200;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_32/Images/13-14-26_200.PNG;23,902115;23,894929;23,842306;2,300207;2,298996;2,304021
13-14-26_709;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_32/Images/13-14-26_709.PNG;23,902831;23,894804;23,842474;2,300149;2,299006;2,304008
13-14-27_218;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_32/Images/13-14-27_218.PNG;23,902254;23,895368;23,842437;2,300196;2,298960;2,304011
13-14-27_728;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_32/Images/13-14-27_728.PNG;23,902363;23,895434;23,842752;2,300187;2,298955;2,303985
13-14-28_237;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_32/Images/13-14-28_237.PNG;23,902700;23,895317;23,842130;2,300159;2,298964;2,304036
13-14-28_747;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_32/Images/13-14-28_747.PNG;23,902436;23,895493;23,842452;2,300181;2,298950;2,304009
