Time [MM:SS];Image file path;T2;T3;T4;V2;V3;V4
13-06-20_258;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_27/Images/13-06-20_258.PNG;23,872023;23,863777;23,811471;2,306537
13-06-21_274;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_27/Images/13-06-21_274.PNG;23,871665;23,863945;23,812259;2,306473
13-06-22_166;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_27/Images/13-06-22_166.PNG;23,872066;23,863579;23,812223;2,306476
13-06-22_675;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_27/Images/13-06-22_675.PNG;23,871409;23,864311;23,811894;2,306503
13-06-23_185;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_27/Images/13-06-23_185.PNG;23,871497;23,864135;23,812150;2,306482
13-06-23_696;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_27/Images/13-06-23_696.PNG;23,871592;23,863989;23,812310;2,306469
13-06-24_204;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_27/Images/13-06-24_204.PNG;23,871928;23,864194;23,811792;2,306511
13-06-24_712;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_27/Images/13-06-24_712.PNG;23,871614;23,864735;23,811887;2,306503
13-06-25_222;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_27/Images/13-06-25_222.PNG;23,871519;23,864486;23,812120;2,306484
13-06-25_731;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_27/Images/13-06-25_731.PNG;23,871555;23,864435;23,812215;2,306476
13-06-26_240;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_27/Images/13-06-26_240.PNG;23,872205;23,864676;23,812763;2,306432
13-06-26_749;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_27/Images/13-06-26_749.PNG;23,872636;23,864647;23,812172;2,306480
