Time [MM:SS];Image file path;T1;T2;T3;T4;T5;T6;T7;T8;V1;V2;V3;V4;V5;V6;V7;V8
15-25-47_350;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_11/Images/15-25-47_350.PNG;-73,762490;2,875013;2,851639;2,731937;-74,822692;-74,718325;-74,927465;-74,447593;11,885797;4,654181;4,649471;4,669393;11,887765;11,885918;11,885598;11,884280
15-25-47_850;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_11/Images/15-25-47_850.PNG;-73,761660;2,882185;2,857788;2,738042;-74,821673;-74,715648;-74,930477;-74,448365;11,885788;4,653165;4,648602;4,668527;11,887754;11,885890;11,885630;11,884288
15-25-48_351;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_11/Images/15-25-48_351.PNG;-73,762545;2,889021;2,863752;2,744741;-74,819693;-74,718660;-74,928804;-74,445113;11,885797;4,652197;4,647759;4,667577;11,887733;11,885922;11,885612;11,884253
15-25-48_850;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_11/Images/15-25-48_850.PNG;-73,759559;2,895888;2,869734;2,750873;-74,822635;-74,718493;-74,928971;-74,443791;11,885765;4,651225;4,646914;4,666707;11,887764;11,885920;11,885614;11,884239
15-25-49_351;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_11/Images/15-25-49_351.PNG;-73,757623;2,902675;2,876024;2,757329;-74,820598;-74,717489;-74,929083;-74,445664;11,885744;4,650264;4,646025;4,665792;11,887743;11,885910;11,885615;11,884259
15-25-49_851;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_11/Images/15-25-49_851.PNG;-73,761881;2,909228;2,882046;2,763315;-74,822465;-74,721449;-74,931537;-74,446436;11,885790;4,649337;4,645174;4,664943;11,887763;11,885952;11,885641;11,884267
15-25-50_351;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_11/Images/15-25-50_351.PNG;-73,764260;2,916531;2,888017;2,769781;-74,820485;-74,716541;-74,931314;-74,446381;11,885816;4,648303;4,644331;4,664026;11,887742;11,885899;11,885639;11,884267
15-25-50_852;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_11/Images/15-25-50_852.PNG;-73,757955;2,922845;2,894541;2,775890;-74,820711;-74,717824;-74,930979;-74,448475;11,885748;4,647410;4,643410;4,663160;11,887744;11,885913;11,885635;11,884289
