Time [MM:SS];Image file path;T2;T3;T4;V2;V3;V4
13-12-59_078;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_31/Images/13-12-59_078.PNG;23,896553;23,889554;23,836452;2,300661;2,299433;2,304499
13-12-59_585;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_31/Images/13-12-59_585.PNG;23,896809;23,889590;23,836686;2,300640;2,299431;2,304480
13-13-00_094;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_31/Images/13-13-00_094.PNG;23,897167;23,890125;23,837205;2,300611;2,299387;2,304437
13-13-00_604;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_31/Images/13-13-00_604.PNG;23,897174;23,890022;23,836452;2,300610;2,299395;2,304499
13-13-01_113;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_31/Images/13-13-01_113.PNG;23,896969;23,889525;23,836883;2,300627;2,299436;2,304464
13-13-01_622;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_31/Images/13-13-01_622.PNG;23,896414;23,889246;23,836649;2,300672;2,299459;2,304483
13-13-02_131;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_31/Images/13-13-02_131.PNG;23,896677;23,889363;23,836613;2,300651;2,299449;2,304486
13-13-02_640;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_31/Images/13-13-02_640.PNG;23,896816;23,889495;23,836905;2,300639;2,299438;2,304462
13-13-03_150;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_31/Images/13-13-03_150.PNG;23,897393;23,889744;23,836708;2,300592;2,299418;2,304478
13-13-04_169;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_31/Images/13-13-04_169.PNG;23,897072;23,889957;23,836868;2,300618;2,299401;2,304465
13-13-05_060;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_31/Images/13-13-05_060.PNG;23,896926;23,890096;23,836825;2,300630;2,299389;2,304468
13-13-05_570;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_31/Images/13-13-05_570.PNG;23,897532;23,890308;23,837511;2,300581;2,299372;2,304412
13-13-06_079;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_31/Images/13-13-06_079.PNG;23,897225;23,889708;23,836635;2,300606;2,299421;2,304484
