Time [MM:SS];Image file path;T1;T2;T3;T4;T5;T6;T7;T8;V1;V2;V3;V4;V5;V6;V7;V8
11-18-00_924;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_4/Images/11-18-00_924.PNG;-6,452258;30,489452;31,301812;30,594003;NaN;NaN;NaN;NaN;8,092657;4,674832;4,599365;4,665088;12,094318;12,095612;12,095981;12,097906
11-18-02_012;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_4/Images/11-18-02_012.PNG;-6,452253;30,643793;30,779158;30,777112;NaN;NaN;NaN;NaN;8,092656;4,660451;4,647854;4,648044;12,094280;12,095675;12,096051;12,097910
11-18-03_101;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_4/Images/11-18-03_101.PNG;-6,452158;30,150527;30,704701;30,721783;NaN;NaN;NaN;NaN;8,092649;4,706484;4,654781;4,653191;12,094327;12,095642;12,096046;12,097945
11-18-04_189;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_4/Images/11-18-04_189.PNG;-6,452048;30,188423;30,324331;30,445351;NaN;NaN;NaN;NaN;8,092641;4,702940;4,690241;4,678945;12,094286;12,095653;12,096063;12,097915
11-18-05_277;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_4/Images/11-18-05_277.PNG;-6,451800;30,367557;30,637986;30,276907;NaN;NaN;NaN;NaN;8,092622;4,686205;4,660991;4,694670;12,094279;12,095630;12,096035;12,097887
11-18-06_367;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_4/Images/11-18-06_367.PNG;-6,452062;30,670781;30,228225;30,618905;NaN;NaN;NaN;NaN;8,092642;4,657938;4,699219;4,662769;12,094284;12,095701;12,096043;12,097965
11-18-07_455;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_4/Images/11-18-07_455.PNG;-6,452439;31,469607;30,930109;30,853724;NaN;NaN;NaN;NaN;8,092670;4,583849;4,633825;4,640922;12,094303;12,095687;12,096033;12,097966
11-18-08_173;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_4/Images/11-18-08_173.PNG;-6,452310;32,129353;30,656399;30,997693;NaN;NaN;NaN;NaN;8,092661;4,523088;4,659277;4,627551;12,094318;12,095674;12,096027;12,097964
11-18-09_262;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_4/Images/11-18-09_262.PNG;-6,451184;31,858437;30,931768;30,570626;NaN;NaN;NaN;NaN;8,092576;4,547991;4,633671;4,667266;12,094261;12,095682;12,096019;12,097923
11-18-10_350;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_4/Images/11-18-10_350.PNG;-6,452196;31,882129;31,292983;31,144666;NaN;NaN;NaN;NaN;8,092652;4,545811;4,600183;4,613919;12,094296;12,095712;12,096051;12,097953
11-18-11_439;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_4/Images/11-18-11_439.PNG;-6,451685;31,899813;31,322647;31,228454;NaN;NaN;NaN;NaN;8,092614;4,544183;4,597437;4,606157;12,094260;12,095671;12,096013;12,097929
11-18-12_173;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_4/Images/11-18-12_173.PNG;-6,450903;31,650969;30,897524;31,180796;NaN;NaN;NaN;NaN;8,092555;4,567107;4,636852;4,610571;12,094255;12,095666;12,096027;12,097911
11-18-13_262;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_4/Images/11-18-13_262.PNG;-6,451275;31,008671;30,644093;31,045908;NaN;NaN;NaN;NaN;8,092583;4,626532;4,660423;4,623077;12,094254;12,095662;12,096008;12,097930
11-18-14_351;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_4/Images/11-18-14_351.PNG;-6,451098;31,367365;31,330165;30,996556;NaN;NaN;NaN;NaN;8,092570;4,593301;4,596742;4,627656;12,094333;12,095702;12,096027;12,097956
11-18-15_439;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_4/Images/11-18-15_439.PNG;-6,450359;32,030901;31,294764;31,337889;NaN;NaN;NaN;NaN;8,092514;4,532130;4,600018;4,596027;12,094291;12,095664;12,096032;12,097916
11-18-16_173;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_4/Images/11-18-16_173.PNG;-6,450306;32,047596;31,023810;31,429105;NaN;NaN;NaN;NaN;8,092510;4,530596;4,625127;4,587592;12,094267;12,095642;12,096018;12,097939
11-18-17_261;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_4/Images/11-18-17_261.PNG;-6,450440;31,820915;31,344569;31,239421;NaN;NaN;NaN;NaN;8,092520;4,551445;4,595409;4,605141;12,094269;12,095691;12,096043;12,097933
11-18-18_350;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_4/Images/11-18-18_350.PNG;-6,450082;31,944173;31,134441;31,262716;NaN;NaN;NaN;NaN;8,092494;4,540103;4,614867;4,602984;12,094247;12,095666;12,096077;12,097904
11-18-19_440;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_4/Images/11-18-19_440.PNG;-6,449734;32,409048;31,966757;31,257602;NaN;NaN;NaN;NaN;8,092468;4,497450;4,538026;4,603458;12,094287;12,095643;12,096033;12,097954
11-18-20_173;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_4/Images/11-18-20_173.PNG;-6,449739;32,852602;31,995789;31,087766;NaN;NaN;NaN;NaN;8,092468;4,456943;4,535357;4,619194;12,094264;12,095623;12,096026;12,097908
11-18-21_261;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_4/Images/11-18-21_261.PNG;-6,449156;32,809643;31,638798;31,266278;NaN;NaN;NaN;NaN;8,092424;4,460858;4,568230;4,602654;12,094291;12,095685;12,095998;12,097943
11-18-22_350;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_4/Images/11-18-22_350.PNG;-6,448927;32,274469;31,666526;30,893332;NaN;NaN;NaN;NaN;8,092407;4,509777;4,565672;4,637241;12,094276;12,095660;12,096013;12,097917
11-18-23_442;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_4/Images/11-18-23_442.PNG;-6,448293;32,072672;31,565422;30,825090;NaN;NaN;NaN;NaN;8,092360;4,528293;4,575001;4,643583;12,094339;12,095619;12,096056;12,097922
11-18-24_173;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_4/Images/11-18-24_173.PNG;-6,448050;31,664847;31,103232;30,564688;NaN;NaN;NaN;NaN;8,092341;4,565827;4,617760;4,667819;12,094246;12,095674;12,096033;12,097933
11-18-25_261;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_4/Images/11-18-25_261.PNG;-6,448040;30,855324;30,591254;30,243061;NaN;NaN;NaN;NaN;8,092341;4,640773;4,665344;4,697833;12,094287;12,095713;12,096053;12,097967
