Time [MM:SS];Image file path;T1;T2;T3;T4;T5;T6;T7;T8;V1;V2;V3;V4;V5;V6;V7;V8
15-26-04_130;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_12/Images/15-26-04_130.PNG;-73,753257;3,088995;3,050410;2,942975;-74,817317;-74,715872;-74,927075;-74,443516;11,885697;4,623933;4,621427;4,639510;11,887708;11,885892;11,885594;11,884236
15-26-04_632;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_12/Images/15-26-04_632.PNG;-73,754251;3,095003;3,056010;2,948626;-74,823088;-74,717433;-74,930979;-74,443020;11,885708;4,623086;4,620638;4,638711;11,887769;11,885909;11,885635;11,884230
15-26-05_130;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_12/Images/15-26-05_130.PNG;-73,756352;3,100909;3,061792;2,954797;-74,819014;-74,717991;-74,924845;-74,443405;11,885731;4,622252;4,619824;4,637839;11,887726;11,885915;11,885570;11,884235
15-26-05_631;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_12/Images/15-26-05_631.PNG;-73,754307;3,106770;3,067468;2,960724;-74,819127;-74,718827;-74,928860;-74,448089;11,885709;4,621426;4,619025;4,637001;11,887727;11,885924;11,885613;11,884285
15-26-06_131;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_12/Images/15-26-06_131.PNG;-73,764094;3,112691;3,073340;2,967111;-74,822805;-74,712916;-74,933378;-74,448695;11,885814;4,620590;4,618198;4,636099;11,887766;11,885861;11,885661;11,884292
15-26-06_631;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_12/Images/15-26-06_631.PNG;-73,757513;3,118680;3,079060;2,973317;-74,818675;-74,714812;-74,927298;-74,446932;11,885743;4,619746;4,617393;4,635222;11,887723;11,885881;11,885596;11,884273
15-26-07_131;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_12/Images/15-26-07_131.PNG;-73,758342;3,124425;3,084853;2,979338;-74,820202;-74,713976;-74,933378;-74,444838;11,885752;4,618936;4,616577;4,634372;11,887739;11,885872;11,885661;11,884250
15-26-07_631;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_12/Images/15-26-07_631.PNG;-73,763098;3,130280;3,090705;2,985314;-74,822296;-74,716987;-74,928636;-74,445720;11,885803;4,618110;4,615754;4,633528;11,887761;11,885904;11,885610;11,884260
15-26-08_131;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_12/Images/15-26-08_131.PNG;-73,759559;3,136494;3,096186;2,991412;-74,813359;-74,715593;-74,927688;-74,441037;11,885765;4,617234;4,614982;4,632666;11,887667;11,885889;11,885600;11,884209
15-26-08_631;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_12/Images/15-26-08_631.PNG;-73,759393;3,142207;3,101836;2,997279;-74,820485;-74,717322;-74,929752;-74,442138;11,885764;4,616429;4,614187;4,631838;11,887742;11,885908;11,885622;11,884221
15-26-09_131;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_12/Images/15-26-09_131.PNG;-73,762213;3,147801;3,107593;3,003134;-74,819580;-74,719776;-74,932262;-74,448640;11,885794;4,615640;4,613377;4,631011;11,887732;11,885934;11,885649;11,884291
15-26-09_631;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_12/Images/15-26-09_631.PNG;-73,760056;3,153828;3,113024;3,008859;-74,817204;-74,717935;-74,932206;-74,448530;11,885771;4,614791;4,612613;4,630203;11,887707;11,885914;11,885648;11,884290
