Time [MM:SS];Image file path;T1;T2;T3;T4;T5;T6;T7;T8;V1;V2;V3;V4;V5;V6;V7;V8
11-43-22_494;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_2/Images/11-43-22_494.PNG;1,401424;4,099123;2,182123;2,192925;0,153039;1,838603;2,115712;0,673983
11-43-22_994;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_2/Images/11-43-22_994.PNG;1,400992;4,098592;2,182987;2,192397;0,153036;1,838813;2,116167;0,675619
11-43-23_493;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_2/Images/11-43-23_493.PNG;1,400616;4,098122;2,184066;2,191828;0,153055;1,839541;2,116184;0,665150
11-43-23_994;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_2/Images/11-43-23_994.PNG;1,401851;4,097702;2,184616;2,191492;0,153067;1,840015;2,116699;0,660924
11-43-24_494;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_2/Images/11-43-24_494.PNG;1,402322;4,097371;2,185440;2,191600;0,153028;1,840311;2,118072;0,660567
11-43-24_994;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_2/Images/11-43-24_994.PNG;1,402255;4,096949;2,186120;2,191864;0,153033;1,840509;2,118470;0,674934
11-43-25_494;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_2/Images/11-43-25_494.PNG;1,402082;4,096729;2,186878;2,192115;0,153055;1,841048;2,118643;0,667543
11-43-25_994;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_2/Images/11-43-25_994.PNG;1,402068;4,096460;2,187598;2,192733;0,153035;1,841442;2,120354;0,660217
11-43-26_494;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_2/Images/11-43-26_494.PNG;1,401766;4,096255;2,188085;2,193384;0,153029;1,841639;2,121402;0,649924
11-43-26_994;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_2/Images/11-43-26_994.PNG;1,402878;4,096120;2,188367;2,194507;0,152992;1,841511;2,121616;0,646576
11-43-27_493;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_2/Images/11-43-27_493.PNG;1,402294;4,095965;2,188854;2,196140;0,153080;1,841053;2,121866;0,651815
11-43-27_994;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_2/Images/11-43-27_994.PNG;1,401757;4,095729;2,189564;2,197628;0,153049;1,840577;2,122130;0,648084
11-43-28_494;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_2/Images/11-43-28_494.PNG;1,402522;4,095540;2,190145;2,198455;0,153067;1,840401;2,122523;0,647979
11-43-28_994;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_2/Images/11-43-28_994.PNG;1,402159;4,095359;2,190156;2,199072;0,153064;1,840950;2,122729;0,652283
11-43-29_505;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_2/Images/11-43-29_505.PNG;1,399877;4,095220;2,189819;2,199717;0,153060;1,839935;2,122697;0,656267
11-43-29_995;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_2/Images/11-43-29_995.PNG;1,401615;4,095010;2,189179;2,200220;0,153050;1,839619;2,121729;0,651493
11-43-30_495;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_2/Images/11-43-30_495.PNG;1,402403;4,094835;2,188624;2,200614;0,153050;1,839628;2,120837;0,652267
11-43-30_994;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_2/Images/11-43-30_994.PNG;1,402854;4,094590;2,188023;2,200909;0,153069;1,839839;2,120029;0,651092
11-43-31_494;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_2/Images/11-43-31_494.PNG;1,404001;4,094283;2,187274;2,200997;0,153078;1,839819;2,120384;0,651200
11-43-31_994;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_2/Images/11-43-31_994.PNG;1,403642;4,093918;2,186575;2,200968;0,153065;1,839661;2,119972;0,663232
11-43-32_494;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_2/Images/11-43-32_494.PNG;1,403908;4,093524;2,186132;2,201033;0,153130;1,839562;2,119438;0,658250
11-43-32_994;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_2/Images/11-43-32_994.PNG;1,403309;4,093151;2,185843;2,201204;0,153089;1,839662;2,119888;0,659616
11-43-33_494;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_2/Images/11-43-33_494.PNG;1,404004;4,092735;2,185450;2,201474;0,153055;1,839131;2,119739;0,665358
11-43-33_994;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_2/Images/11-43-33_994.PNG;1,403513;4,092440;2,185099;2,201572;0,153095;1,838554;2,119546;0,669724
11-43-34_495;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_2/Images/11-43-34_495.PNG;1,402688;4,092112;2,184876;2,201667;0,153092;1,837844;2,119254;0,665744
11-43-34_993;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_2/Images/11-43-34_993.PNG;1,404784;4,091804;2,184959;2,201967;0,153079;1,836385;2,118396;0,670828
11-43-35_494;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_2/Images/11-43-35_494.PNG;1,403057;4,091522;2,185307;2,202366;0,153088;1,835719;2,117671;0,672026
11-43-35_994;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_2/Images/11-43-35_994.PNG;1,402509;4,091358;2,185571;2,202851;0,153046;1,835371;2,117660;0,673442
11-43-36_495;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_2/Images/11-43-36_495.PNG;1,400055;4,091130;2,186176;2,203145;0,153109;1,834893;2,118136;0,690239
11-43-36_995;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_2/Images/11-43-36_995.PNG;1,398994;4,090884;2,187142;2,203648;0,153097;1,835430;2,119050;0,685861
11-43-37_494;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_2/Images/11-43-37_494.PNG;1,396950;4,090780;2,188056;2,204263;0,153092;1,835333;2,118467;0,676707
11-43-37_995;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_2/Images/11-43-37_995.PNG;1,392134;4,090625;2,188946;2,204836;0,153096;1,834686;2,119576;0,663762
11-43-38_494;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_2/Images/11-43-38_494.PNG;1,402126;4,090397;2,189615;2,205294;0,153081;1,833552;2,119120;0,661650
11-43-38_994;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_2/Images/11-43-38_994.PNG;1,404771;4,090253;2,189877;2,205593;0,153087;1,832790;2,118687;0,654989
11-43-39_494;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_2/Images/11-43-39_494.PNG;1,399989;4,090109;2,189398;2,205956;0,153159;1,832762;2,117759;0,648543
11-43-39_995;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_2/Images/11-43-39_995.PNG;1,403682;4,089910;2,189604;2,205855;0,153109;1,833106;2,116891;0,661265
