Time_MM_SS;ImageFilePath;TRef_C;T1_C;T2_C;TRef_V;T1_V;T2_V;VRef_V;TRef_C;TRef_Gradient;Target_Temp;Target_Gradient
13-04-24_984;C:\Program Files\Ice Nucleation Controller\Data\Verticalgradienttest/Images/13-04-24_984.PNG;20.9781208010872255;24.9230049028095095;23.3605760631722319;2.5465892283075586;6.2428356553814224;6.2121943361875003;20,978121;11,993341;0,026602;-30,000000;-0,000000
13-04-29_984;C:\Program Files\Ice Nucleation Controller\Data\Verticalgradienttest/Images/13-04-29_984.PNG;20.9785945870765289;24.8998908452297201;23.3634520374243948;2.5465429751004565;6.2455158379981421;6.2118463642505626;20,978595;11,993324;0,020393;-30,000000;-0,000000
13-04-34_982;C:\Program Files\Ice Nucleation Controller\Data\Verticalgradienttest/Images/13-04-34_982.PNG;20.9804936131239721;24.9425505044296187;23.4035174619738200;2.5463677374343718;6.2405395651185263;6.2071146492430360;20,980494;11,993299;0,014648;-30,000000;-0,000000
13-04-39_982;C:\Program Files\Ice Nucleation Controller\Data\Verticalgradienttest/Images/13-04-39_982.PNG;20.9809906356331623;24.9499874271543831;23.4439142842319938;2.5463416305984041;6.2397180938552683;6.2024011732578987;20,980991;11,993383;0,007154;-30,000000;-0,000000
13-04-44_982;C:\Program Files\Ice Nucleation Controller\Data\Verticalgradienttest/Images/13-04-44_982.PNG;20.9807442279068148;24.9441571201647889;23.2950653475897980;2.5463781682478288;6.2404309058446241;6.2199684512596400;20,980744;11,993449;-0,014626;-30,000000;-0,000000
13-04-49_982;C:\Program Files\Ice Nucleation Controller\Data\Verticalgradienttest/Images/13-04-49_982.PNG;20.9821391435767843;24.9616430735882773;23.4203601261169751;2.5462466803936175;6.2383806847560814;6.2051930549855854;20,982139;11,993418;-0,005873;-30,000000;-0,000000
13-04-54_982;C:\Program Files\Ice Nucleation Controller\Data\Verticalgradienttest/Images/13-04-54_982.PNG;20.9833327062247150;24.9556899512587620;23.5054181864996963;2.5461342064222223;6.2390595220958911;6.1951655265787560;20,983333;11,993392;0,002234;-30,000000;-0,000000
13-04-59_964;C:\Program Files\Ice Nucleation Controller\Data\Verticalgradienttest/Images/13-04-59_964.PNG;20.9841320725980189;24.9871024307180391;23.3844164148308664;2.5460607734954821;6.2354009887815121;6.2094078784828115;20,984132;11,993383;0,014676;-30,000000;-0,000000
13-05-04_967;C:\Program Files\Ice Nucleation Controller\Data\Verticalgradienttest/Images/13-05-04_967.PNG;20.9857072992427369;24.9852811058545967;23.4704609364389967;2.5459123579211451;6.2355948230978742;6.1992579817329636;20,985707;11,993349;0,013704;-30,000000;-0,000000
13-05-09_966;C:\Program Files\Ice Nucleation Controller\Data\Verticalgradienttest/Images/13-05-09_966.PNG;20.9861736192280759;25.0190897554367666;23.4729262243516814;2.5458433953430295;6.2315979737995839;6.1989032148661165;20,986174;11,993224;0,021910;-30,000000;-0,000000
13-05-14_967;C:\Program Files\Ice Nucleation Controller\Data\Verticalgradienttest/Images/13-05-14_967.PNG;20.9877610082763866;25.0458253248705773;23.3857939053486348;2.5457123843260039;6.2285151021787577;6.2091889506095033;20,987761;11,993274;0,006740;-30,000000;-0,000000
13-05-19_967;C:\Program Files\Ice Nucleation Controller\Data\Verticalgradienttest/Images/13-05-19_967.PNG;20.9888997746411050;25.0705609012591708;23.4343628234964285;2.5455858436576038;6.2255804077136760;6.2034107567912802;20,988900;11,993160;0,008489;-30,000000;-0,000000
13-05-24_967;C:\Program Files\Ice Nucleation Controller\Data\Verticalgradienttest/Images/13-05-24_967.PNG;20.9892565033188170;25.0926236270618119;23.5800931691527467;2.5455886450760747;6.2230980529247555;6.1863402835333519;20,989257;11,993319;0,011294;-30,000000;-0,000000
13-05-29_966;C:\Program Files\Ice Nucleation Controller\Data\Verticalgradienttest/Images/13-05-29_966.PNG;20.9898983595204385;25.1085629610117280;23.7157874647908784;2.5455658761004134;6.2213274968461700;6.1704627973117123;20,989898;11,993478;0,010730;-30,000000;-0,000000
13-05-34_998;C:\Program Files\Ice Nucleation Controller\Data\Verticalgradienttest/Images/13-05-34_998.PNG;20.9920451650124313;25.1614696078992779;23.5427792142813246;2.5453428355063701;6.2151047715607159;6.1907391661846152;20,992045;11,993335;0,018666;-30,000000;-0,000000
13-05-39_998;C:\Program Files\Ice Nucleation Controller\Data\Verticalgradienttest/Images/13-05-39_998.PNG;20.9923476017798087;25.1794066345684655;23.6154932532316479;2.5453034368338248;6.2129911907310014;6.1821547855231058;20,992348;11,993279;0,007481;-30,000000;-0,000000
13-05-44_998;C:\Program Files\Ice Nucleation Controller\Data\Verticalgradienttest/Images/13-05-44_998.PNG;20.9928707367663421;25.1822054748065511;23.5846677129961222;2.5452454415110020;6.2126393444919197;6.1857546082588808;20,992871;11,993227;-0,005276;-30,000000;-0,000000
13-05-49_998;C:\Program Files\Ice Nucleation Controller\Data\Verticalgradienttest/Images/13-05-49_998.PNG;20.9922927236479673;25.2385443867558479;23.4864837486575766;2.5453304377395174;6.2061733130319912;6.1973880051009669;20,992293;11,993380;0,004034;-30,000000;-0,000000
13-05-54_998;C:\Program Files\Ice Nucleation Controller\Data\Verticalgradienttest/Images/13-05-54_998.PNG;20.9945827949256412;25.2512784335535230;23.4455670253708490;2.5451174703310415;6.2046746733590767;6.2021855236402486;20,994583;11,993342;0,018879;-30,000000;-0,000000
13-05-59_998;C:\Program Files\Ice Nucleation Controller\Data\Verticalgradienttest/Images/13-05-59_998.PNG;20.9960941915884405;25.3138578998965613;23.5452428675247915;2.5449869361512030;6.1974182246576692;6.1904635542907469;20,996094;11,993363;0,011596;-30,000000;-0,000000
13-06-05_011;C:\Program Files\Ice Nucleation Controller\Data\Verticalgradienttest/Images/13-06-05_011.PNG;20.9964340825728612;25.3492339222481746;23.3896066223755383;2.5449549284550503;6.1933072920624790;6.2087823276986098;20,996434;11,993356;0,015566;-30,000000;-0,000000
13-06-09_999;C:\Program Files\Ice Nucleation Controller\Data\Verticalgradienttest/Images/13-06-09_999.PNG;20.9976311237800672;25.3840981234214382;23.5343554883622232;2.5448106852060963;6.1891723387940143;6.1916528458388358;20,997631;11,993185;-0,000463;-30,000000;-0,000000
13-06-14_998;C:\Program Files\Ice Nucleation Controller\Data\Verticalgradienttest/Images/13-06-14_998.PNG;20.9980897493444196;25.6118412912070994;23.5637908292977158;2.5448276129262219;6.1628927089508014;6.1883260123924035;20,998090;11,993450;0,014497;-30,000000;-0,000000
13-06-20_012;C:\Program Files\Ice Nucleation Controller\Data\Verticalgradienttest/Images/13-06-20_012.PNG;20.9988036090421026;25.6215449126857493;23.6134455406806864;2.5447454777208254;6.1617247558668122;6.1824408282304315;20,998804;11,993366;0,011616;-30,000000;-0,000000
