Time [MM:SS];Image file path;T1;T2;T3;T4;T5;T6;T7;T8;V1;V2;V3;V4;V5;V6;V7;V8
12-49-39_388;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_13/Images/12-49-39_388.PNG;-6,680847;31,861658;31,449222;30,694233;NaN;NaN;NaN;NaN;8,109746;4,547695;4,585733;4,655755;12,216130;12,095613;12,095967;12,097909
12-49-40_677;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_13/Images/12-49-40_677.PNG;-6,680760;32,526611;31,854074;31,368266;NaN;NaN;NaN;NaN;8,109740;4,486695;4,548393;4,593217;12,216160;12,095547;12,095943;12,097914
12-49-41_967;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_13/Images/12-49-41_967.PNG;-6,680655;32,367005;31,776462;31,142455;NaN;NaN;NaN;NaN;8,109732;4,501299;4,555540;4,614124;12,216162;12,095567;12,095933;12,097905
12-49-42_639;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_13/Images/12-49-42_639.PNG;-6,680046;32,138162;31,848903;31,244303;NaN;NaN;NaN;NaN;8,109686;4,522280;4,548869;4,604689;12,216126;12,095580;12,095966;12,097886
12-49-43_928;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_13/Images/12-49-43_928.PNG;-6,680007;32,150241;31,693195;31,537415;NaN;NaN;NaN;NaN;8,109683;4,521171;4,563213;4,577586;12,216131;12,095561;12,095918;12,097834
12-49-44_638;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_13/Images/12-49-44_638.PNG;-6,680276;32,295111;31,634782;31,809753;NaN;NaN;NaN;NaN;8,109703;4,507885;4,568600;4,552473;12,216147;12,095567;12,095940;12,097900
12-49-45_927;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_13/Images/12-49-45_927.PNG;-6,679475;32,480639;31,525676;31,559250;NaN;NaN;NaN;NaN;8,109644;4,490899;4,578670;4,575570;12,216154;12,095552;12,095913;12,097897
12-49-46_639;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_13/Images/12-49-46_639.PNG;-6,679868;32,374297;31,530815;31,360007;NaN;NaN;NaN;NaN;8,109673;4,500631;4,578196;4,593981;12,216130;12,095574;12,095955;12,097876
12-49-47_928;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_13/Images/12-49-47_928.PNG;-6,678856;32,126057;31,850519;31,168291;NaN;NaN;NaN;NaN;8,109598;4,523391;4,548720;4,611730;12,216090;12,095492;12,095860;12,097827
12-49-48_638;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_13/Images/12-49-48_638.PNG;-6,679173;32,072119;31,624144;31,203993;NaN;NaN;NaN;NaN;8,109621;4,528344;4,569581;4,608422;12,216124;12,095537;12,095908;12,097854
12-49-49_928;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_13/Images/12-49-49_928.PNG;-6,678708;32,171781;30,490887;30,912350;NaN;NaN;NaN;NaN;8,109586;4,519195;4,674699;4,635475;12,216141;12,095581;12,095893;12,097864
12-49-50_638;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_13/Images/12-49-50_638.PNG;-6,679451;31,684029;30,117541;30,833673;NaN;NaN;NaN;NaN;8,109642;4,564058;4,709569;4,642785;12,216144;12,095554;12,095935;12,097863
12-49-51_928;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_13/Images/12-49-51_928.PNG;-6,679091;31,192191;29,990387;30,519583;NaN;NaN;NaN;NaN;8,109615;4,609516;4,721472;4,672023;12,216123;12,095550;12,095955;12,097860
