Time [MM:SS];Image file path;T1;T2;T3;T4;T5;T6;T7;T8;V1;V2;V3;V4;V5;V6;V7;V8
15-23-54_297;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_8/Images/15-23-54_297.PNG;-73,758674;1,434590;1,420311;1,286223;-74,817374;-74,719999;-74,929027;-74,448475;11,885756;4,860662;4,854231;4,877001;11,887709;11,885936;11,885615;11,884289
15-23-54_796;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_8/Images/15-23-54_796.PNG;-73,764094;1,440981;1,427563;1,293177;-74,824616;-74,719999;-74,932987;-74,452885;11,885814;4,859735;4,853181;4,875991;11,887785;11,885936;11,885657;11,884337
15-23-55_296;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_8/Images/15-23-55_296.PNG;-73,761771;1,447738;1,434968;1,300344;-74,817317;-74,720668;-74,929417;-74,449632;11,885789;4,858755;4,852109;4,874950;11,887708;11,885944;11,885619;11,884302
15-23-55_797;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_8/Images/15-23-55_797.PNG;-73,765311;1,454792;1,442490;1,307447;-74,822069;-74,718549;-74,934996;-74,443956;11,885827;4,857732;4,851021;4,873918;11,887758;11,885921;11,885678;11,884241
15-23-56_297;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_8/Images/15-23-56_297.PNG;-73,762379;1,461798;1,449769;1,314751;-74,825125;-74,719553;-74,931425;-74,446491;11,885796;4,856717;4,849968;4,872857;11,887791;11,885932;11,885640;11,884268
15-23-56_796;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_8/Images/15-23-56_796.PNG;-73,760443;1,468870;1,456691;1,321708;-74,822069;-74,722063;-74,934047;-74,450569;11,885775;4,855691;4,848966;4,871847;11,887758;11,885958;11,885668;11,884312
15-23-57_296;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_8/Images/15-23-57_296.PNG;-73,759946;1,475585;1,463811;1,328706;-74,821560;-74,717545;-74,935888;-74,446877;11,885769;4,854718;4,847936;4,870830;11,887753;11,885910;11,885688;11,884272
15-23-57_796;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_8/Images/15-23-57_796.PNG;-73,763375;1,482210;1,470331;1,335878;-74,820485;-74,721059;-74,930979;-74,450128;11,885806;4,853758;4,846993;4,869789;11,887742;11,885948;11,885635;11,884307
15-23-58_296;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_8/Images/15-23-58_296.PNG;-73,763375;1,489621;1,477626;1,343075;-74,821447;-74,715927;-74,932039;-74,452113;11,885806;4,852684;4,845938;4,868744;11,887752;11,885893;11,885647;11,884329
15-23-58_796;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_8/Images/15-23-58_796.PNG;-73,761715;1,496133;1,484407;1,349829;-74,822861;-74,721394;-74,927577;-74,445168;11,885789;4,851740;4,844958;4,867764;11,887767;11,885951;11,885599;11,884254
15-23-59_296;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_8/Images/15-23-59_296.PNG;-73,760609;1,503155;1,491555;1,356937;-74,821956;-74,719776;-74,929640;-74,446766;11,885777;4,850723;4,843924;4,866732;11,887757;11,885934;11,885621;11,884271
15-23-59_796;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_8/Images/15-23-59_796.PNG;-73,764370;1,509627;1,498609;1,363730;-74,820372;-74,719943;-74,933378;-74,451782;11,885817;4,849785;4,842904;4,865746;11,887741;11,885936;11,885661;11,884325
15-24-00_296;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_8/Images/15-24-00_296.PNG;-73,761826;1,516807;1,505524;1,370696;-74,820032;-74,720389;-74,931258;-74,446271;11,885790;4,848745;4,841905;4,864735;11,887737;11,885941;11,885638;11,884266
15-24-00_796;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_8/Images/15-24-00_796.PNG;-73,761549;1,523140;1,512555;1,377930;-74,822861;-74,719385;-74,935609;-74,447648;11,885787;4,847828;4,840889;4,863686;11,887767;11,885930;11,885685;11,884281
